GEOID,NAME,total_population,total_poverty,percent_poverty
06019000902,"Census Tract 9.02, Fresno County, California",4845,2971,0.6132094943240454
06019001000,"Census Tract 10, Fresno County, California",3671,1617,0.4404794333968946
06019001100,"Census Tract 11, Fresno County, California",2825,1267,0.44849557522123895
06019001201,"Census Tract 12.01, Fresno County, California",5141,2541,0.4942618167671659
06019001202,"Census Tract 12.02, Fresno County, California",4913,1798,0.36596784042336655
06019001301,"Census Tract 13.01, Fresno County, California",5240,2623,0.5005725190839695
06019001303,"Census Tract 13.03, Fresno County, California",2399,982,0.40933722384326804
06019001304,"Census Tract 13.04, Fresno County, California",5442,2603,0.47831679529584714
06019001407,"Census Tract 14.07, Fresno County, California",4315,2276,0.5274623406720742
06019001500,"Census Tract 15, Fresno County, California",2258,799,0.3538529672276351
06019002000,"Census Tract 20, Fresno County, California",6167,2935,0.4759202205286201
06019002100,"Census Tract 21, Fresno County, California",5536,1973,0.35639450867052025
06019002300,"Census Tract 23, Fresno County, California",3453,1319,0.3819866782507964
06019002400,"Census Tract 24, Fresno County, California",4831,2282,0.47236596977851375
06019002501,"Census Tract 25.01, Fresno County, California",5150,2912,0.5654368932038835
06019002502,"Census Tract 25.02, Fresno County, California",5762,3428,0.5949323151683443
06019002601,"Census Tract 26.01, Fresno County, California",5617,2883,0.51326330781556
06019002701,"Census Tract 27.01, Fresno County, California",4372,1833,0.41925892040256174
06019002702,"Census Tract 27.02, Fresno County, California",5059,2505,0.49515714568096464
06019002800,"Census Tract 28, Fresno County, California",4694,2520,0.5368555602897316
06019002903,"Census Tract 29.03, Fresno County, California",4209,2141,0.5086718935614161
06019002906,"Census Tract 29.06, Fresno County, California",5678,2048,0.36069038393800634
06019003003,"Census Tract 30.03, Fresno County, California",4329,2095,0.4839454839454839
06019003201,"Census Tract 32.01, Fresno County, California",5365,1880,0.3504193849021435
06019003302,"Census Tract 33.02, Fresno County, California",4755,1989,0.41829652996845423
06019003400,"Census Tract 34, Fresno County, California",5294,2434,0.45976577257272383
06019003500,"Census Tract 35, Fresno County, California",5309,2052,0.3865134676963647
06019003702,"Census Tract 37.02, Fresno County, California",4583,1639,0.35762600916430287
06019003805,"Census Tract 38.05, Fresno County, California",6818,2826,0.4144910530947492
06019004205,"Census Tract 42.05, Fresno County, California",6822,2629,0.3853708589856347
06019004505,"Census Tract 45.05, Fresno County, California",5358,2019,0.37681970884658456
06019004701,"Census Tract 47.01, Fresno County, California",7518,2886,0.383878691141261
06019004703,"Census Tract 47.03, Fresno County, California",4417,1640,0.3712927326239529
06019004704,"Census Tract 47.04, Fresno County, California",4737,2164,0.45682921680388433
06019004801,"Census Tract 48.01, Fresno County, California",4936,1847,0.3741896272285251
06019004802,"Census Tract 48.02, Fresno County, California",5192,2065,0.3977272727272727
06019004901,"Census Tract 49.01, Fresno County, California",3708,1430,0.3856526429341963
06019005100,"Census Tract 51, Fresno County, California",6118,2144,0.35044132069303696
06019005202,"Census Tract 52.02, Fresno County, California",3857,1422,0.36868032149338864
06019005204,"Census Tract 52.04, Fresno County, California",4314,1680,0.3894297635605007
06019005302,"Census Tract 53.02, Fresno County, California",5694,1999,0.35107130312609763
06019005304,"Census Tract 53.04, Fresno County, California",5800,2134,0.3679310344827586
06019005403,"Census Tract 54.03, Fresno County, California",4492,2161,0.48107747105966164
06019005408,"Census Tract 54.08, Fresno County, California",2887,1184,0.41011430550744715
06019005409,"Census Tract 54.09, Fresno County, California",3756,1590,0.4233226837060703
06019006501,"Census Tract 65.01, Fresno County, California",6951,3594,0.5170479067760034
06019006502,"Census Tract 65.02, Fresno County, California",4624,2188,0.4731833910034602
06019006602,"Census Tract 66.02, Fresno County, California",5673,2536,0.44702979023444384
06019006802,"Census Tract 68.02, Fresno County, California",3906,1428,0.3655913978494624
06019006900,"Census Tract 69, Fresno County, California",2988,1126,0.3768406961178046
06019007100,"Census Tract 71, Fresno County, California",7729,2732,0.35347392935696725
06019007600,"Census Tract 76, Fresno County, California",4938,1813,0.3671526933981369
06019007802,"Census Tract 78.02, Fresno County, California",5074,2364,0.4659046117461569
06019008200,"Census Tract 82, Fresno County, California",6765,3009,0.4447893569844789
06019008301,"Census Tract 83.01, Fresno County, California",5829,2057,0.35289071881969464
